Player,Bat1,Bat2,Runs,BF,SR,4s,6s,,Ground,Start Date,temp,humidity,windspeed,conditions,format,opposition
AK Markram,21,-,21,29,72.41,1,1,,Colombo (RPS),4-Sep-21,61.7,81.5,9.6,"Rain, Partially cloudy",ODI,Sri Lanka
AK Markram,2,-,2,4,50,0,0,,Colombo (RPS),7-Sep-21,58.9,91.7,26.8,"Rain, Overcast",ODI,Sri Lanka
AK Markram,48,-,48,33,145.45,1,2,,Colombo (RPS),10-Sep-21,52.4,78.5,18.7,Partially cloudy,T20I,Sri Lanka
AK Markram,21*,-,21,19,110.52,3,0,,Colombo (RPS),12-Sep-21,68.7,66.7,13,Partially cloudy,T20I,Sri Lanka
AK Markram,DNB,-,-,-,-,-,-,,Colombo (RPS),14-Sep-21,63.7,91.7,10.9,"Rain, Partially cloudy",T20I,Sri Lanka
AK Markram,40,-,40,36,111.11,3,1,,Abu Dhabi,23-Oct-21,86.5,65.6,11.8,Clear,T20I,Australia
AK Markram,51*,-,51,26,196.15,2,4,,Dubai (DSC),26-Oct-21,N/A,N/A,N/A,N/A,T20I,West Indies
AK Markram,19,-,19,20,95,2,0,,Sharjah,30-Oct-21,83.2,38.4,11.6,Clear,T20I,Sri Lanka
AK Markram,0,-,0,4,0,0,0,,Abu Dhabi,2-Nov-21,84.9,75.8,11.7,Clear,T20I,Bangladesh
AK Markram,52*,-,52,25,208,2,4,,Sharjah,6-Nov-21,82.1,59.4,12,Clear,T20I,England
AK Markram,13,1,14,41,34.14,3,0,,Centurion,26-Dec-21,75.9,66.3,8.1,Clear,Test,India
AK Markram,7,31,38,50,76,7,0,,Johannesburg,3-Jan-22,69,66.4,16,"Rain, Partially cloudy",Test,India
AK Markram,8,16,24,44,54.54,5,0,,Cape Town,11-Jan-22,69.5,74.3,20.8,Partially cloudy,Test,India
AK Markram,4,-,4,11,36.36,0,0,,Paarl,19-Jan-22,68.8,61.1,20.8,Partially cloudy,ODI,India
AK Markram,37*,-,37,41,90.24,4,0,,Paarl,21-Jan-22,74.6,59.7,16.1,Clear,ODI,India
AK Markram,15,-,15,14,107.14,3,0,,Cape Town,23-Jan-22,80.3,65,18.8,Partially cloudy,ODI,India
AK Markram,15,2,17,54,31.48,2,0,,Christchurch,17-Feb-22,60.2,80.6,20.7,Partially cloudy,Test,New Zealand
AK Markram,42,14,56,147,38.09,11,0,,Christchurch,25-Feb-22,58.7,73.3,19.6,Partially cloudy,Test,New Zealand
AK Markram,0,-,0,3,0,0,0,,Centurion,18-Mar-22,70.3,87.2,14.3,"Rain, Overcast",ODI,Bangladesh
AK Markram,77,-,77,61,126.22,9,0,,Chester-le-Street,19-Jul-22,78.6,46.4,13.3,Partially cloudy,ODI,England
AK Markram,0,-,0,0,-,0,0,,Manchester,22-Jul-22,59.5,89.7,8.5,"Rain, Overcast",ODI,England
AK Markram,24*,-,24,34,70.58,1,0,,Leeds,24-Jul-22,64.9,83.9,18.3,"Rain, Partially cloudy",ODI,England
AK Markram,51*,-,51,36,141.66,5,0,,Southampton,31-Jul-22,68.6,78.1,17.2,Partially cloudy,T20I,England
AK Markram,56,-,56,27,207.4,2,5,,Bristol,3-Aug-22,65.3,83.6,15,"Rain, Partially cloudy",T20I,Ireland
AK Markram,27,-,27,10,270,1,3,,Bristol,5-Aug-22,59.7,60.3,17.6,Partially cloudy,T20I,Ireland
AK Markram,16,-,16,27,59.25,3,0,,Lord's,17-Aug-22,46.2,80.2,6.9,"Rain, Partially cloudy",Test,England
AK Markram,14,6,20,45,44.44,1,0,,Manchester,25-Aug-22,60.5,82.6,9.5,"Rain, Partially cloudy",Test,England
AK Markram,25,-,25,24,104.16,3,1,,Thiruvananthapuram,28-Sep-22,82.8,75,11.4,Partially cloudy,T20I,India
AK Markram,33,-,33,19,173.68,4,1,,Guwahati,2-Oct-22,84.5,87.8,4.6,"Rain, Partially cloudy",T20I,India
AK Markram,DNB,-,-,-,-,-,-,,Indore,4-Oct-22,79.6,63,10.3,Partially cloudy,T20I,India
AK Markram,0,-,0,5,0,0,0,,Lucknow,6-Oct-22,75.1,94.7,9.2,"Rain, Overcast",ODI,India
AK Markram,79,-,79,89,88.76,7,1,,Ranchi,9-Oct-22,78.9,80.2,10.3,Partially cloudy,ODI,India
AK Markram,9,-,9,19,47.36,0,0,,Delhi,11-Oct-22,76.7,87.1,5.8,"Rain, Partially cloudy",ODI,India
AK Markram,DNB,-,-,-,-,-,-,,Hobart,24-Oct-22,52,72.3,15,Overcast,T20I,Zimbabwe
AK Markram,10,-,10,11,90.9,1,0,,Sydney,27-Oct-22,70.6,57.3,13.7,"Rain, Partially cloudy",T20I,Bangladesh
AK Markram,52,-,52,41,126.82,6,1,,Perth,30-Oct-22,55.6,61.3,16.6,"Rain, Partially cloudy",T20I,India
AK Markram,20,-,20,14,142.85,4,0,,Sydney,3-Nov-22,60.1,55.9,18.3,"Rain, Partially cloudy",T20I,Pakistan
AK Markram,17,-,17,13,130.76,2,0,,Adelaide,6-Nov-22,67.6,45.1,9.7,Partially cloudy,T20I,Netherlands
AK Markram,13,-,13,19,68.42,1,0,,Bloemfontein,27-Jan-23,70.8,63.1,11.6,Partially cloudy,ODI,England
AK Markram,49,-,49,43,113.95,3,2,,Bloemfontein,29-Jan-23,73.4,53.7,16,Clear,ODI,England
AK Markram,39,-,39,35,111.42,1,2,,Kimberley,1-Feb-23,75.8,58.5,18.1,"Rain, Partially cloudy",ODI,England
AK Markram,115,47,162,232,69.82,25,0,,Centurion,28-Feb-23,76.3,77.1,7.7,Partially cloudy,Test,West Indies
AK Markram,96,18,114,195,58.46,20,0,,Johannesburg,8-Mar-23,69.9,72.6,8.9,"Rain, Partially cloudy",Test,West Indies
AK Markram,25,-,25,26,96.15,3,1,,Potchefstroom,21-Mar-23,71.1,62.9,6.7,Partially cloudy,ODI,West Indies
AK Markram,14,-,14,9,155.55,3,0,,Centurion,25-Mar-23,70.7,95.7,10.7,"Rain, Overcast",T20I,West Indies
AK Markram,38*,-,38,21,180.95,4,1,,Centurion,26-Mar-23,70,77.5,16.8,"Rain, Partially cloudy",T20I,West Indies
AK Markram,35*,-,35,18,194.44,4,0,,Johannesburg,28-Mar-23,60.8,78.4,13.2,Partially cloudy,T20I,West Indies
AK Markram,51*,-,51,39,130.76,7,1,,Benoni,31-Mar-23,57.6,78.2,15.4,"Rain, Partially cloudy",ODI,Netherlands
AK Markram,175,-,175,126,138.88,17,7,,Johannesburg,2-Apr-23,65.8,68.8,10.5,Partially cloudy,ODI,Netherlands
AK Markram,7,-,7,7,100,0,0,,Durban,30-Aug-23,63,78.9,18.3,Clear,T20I,Australia
AK Markram,49,-,49,38,128.94,3,2,,Durban,1-Sep-23,63.9,78.7,18.5,Partially cloudy,T20I,Australia
AK Markram,41,-,41,23,178.26,4,2,,Durban,3-Sep-23,66,78.7,9.7,Partially cloudy,T20I,Australia
AK Markram,19,-,19,14,135.71,3,0,,Bloemfontein,7-Sep-23,52.3,33.1,2.5,Clear,ODI,Australia
AK Markram,3,-,3,8,37.5,0,0,,Bloemfontein,9-Sep-23,64.2,28.7,8.7,Clear,ODI,Australia
AK Markram,102*,-,102,74,137.83,9,4,,Potchefstroom,12-Sep-23,50.4,52.3,15.4,Clear,ODI,Australia
AK Markram,8,-,8,11,72.72,0,0,,Centurion,15-Sep-23,55.8,69.8,11,Partially cloudy,ODI,Australia
AK Markram,93,-,93,87,106.89,9,3,,Johannesburg,17-Sep-23,63.8,22.6,10,Clear,ODI,Australia
AK Markram,106,-,106,54,196.29,14,3,,Delhi,7-Oct-23,84.1,58,9.2,Clear,ODI,Sri Lanka
AK Markram,56,-,56,44,127.27,7,1,,Lucknow,12-Oct-23,81.3,58.3,9.2,Clear,ODI,Australia
AK Markram,1,-,1,3,33.33,0,0,,Dharamsala,17-Oct-23,78.1,83.4,9.2,Rain,ODI,Netherlands
AK Markram,42,-,42,44,95.45,4,0,,Wankhede,21-Oct-23,N/A,N/A,N/A,N/A,ODI,England
AK Markram,60,-,60,69,86.95,7,0,,Wankhede,24-Oct-23,N/A,N/A,N/A,N/A,ODI,Bangladesh
AK Markram,91,-,91,93,97.84,7,3,,Chennai,27-Oct-23,83,83,11.4,"Rain, Partially cloudy",ODI,Pakistan
AK Markram,6*,-,6,1,600,0,1,,Pune,1-Nov-23,73.8,48.8,6.5,Partially cloudy,ODI,New Zealand
AK Markram,9,-,9,6,150,2,0,,Eden Gardens,5-Nov-23,83.5,81.7,9.2,"Rain, Partially cloudy",ODI,India
H Klaasen,6,-,6,12,50,1,0,,Cape Town,7-Feb-18,74.5,59.2,18.3,Partially cloudy,ODI,India
H Klaasen,43*,-,43,27,159.25,5,1,,Johannesburg,10-Feb-18,69.4,68.1,9.5,"Rain, Partially cloudy",ODI,India
H Klaasen,39,-,39,42,92.85,2,2,,Gqeberha,13-Feb-18,68.8,87.3,20,"Rain, Overcast",ODI,India
H Klaasen,22,-,22,40,55,3,0,,Centurion,16-Feb-18,73,71.5,15.5,Partially cloudy,ODI,India
H Klaasen,16,-,16,8,200,1,1,,Johannesburg,18-Feb-18,70.9,65.9,9.3,"Rain, Partially cloudy",T20I,India
H Klaasen,69,-,69,30,230,3,7,,Centurion,21-Feb-18,73.1,77.6,19.7,"Rain, Partially cloudy",T20I,India
H Klaasen,7,-,7,10,70,0,0,,Cape Town,24-Feb-18,62.3,59.1,28.9,"Rain, Partially cloudy",T20I,India
H Klaasen,17,-,17,13,130.76,2,0,,Pallekele,8-Aug-18,79.1,84.4,15,"Rain, Partially cloudy",ODI,Sri Lanka
H Klaasen,3,-,3,8,37.5,0,0,,Colombo (RPS),12-Aug-18,55.6,83.1,8.5,Partially cloudy,ODI,Sri Lanka
H Klaasen,18,-,18,16,112.5,1,1,,Colombo (RPS),14-Aug-18,61.2,71,9.5,Partially cloudy,T20I,Sri Lanka
H Klaasen,44,-,44,44,100,5,2,,Kimberley,30-Sep-18,73.9,35.8,26.4,Clear,ODI,Zimbabwe
H Klaasen,1,-,1,13,7.69,0,0,,Bloemfontein,3-Oct-18,54.2,44,24.2,Partially cloudy,ODI,Zimbabwe
H Klaasen,59,-,59,67,88.05,6,1,,Paarl,6-Oct-18,70,62.8,22.8,Clear,ODI,Zimbabwe
H Klaasen,22,-,22,15,146.66,1,2,,Potchefstroom,12-Oct-18,77.4,23.6,17.4,Partially cloudy,T20I,Zimbabwe
H Klaasen,2,-,2,5,40,0,0,,Perth,4-Nov-18,63,67.1,18.8,Partially cloudy,ODI,Australia
H Klaasen,14,-,14,17,82.35,2,0,,Adelaide,9-Nov-18,59.6,49.9,12.8,Partially cloudy,ODI,Australia
H Klaasen,1*,-,1,2,50,0,0,,Hobart,11-Nov-18,57,63.4,17.6,Partially cloudy,ODI,Australia
H Klaasen,12,-,12,6,200,2,0,,Carrara,17-Nov-18,54,54.9,16.1,Partially cloudy,T20I,Australia
H Klaasen,DNB,-,-,-,-,-,-,,Gqeberha,19-Jan-19,66.1,59.3,34.9,Partially cloudy,ODI,Pakistan
H Klaasen,0,-,0,1,0,0,0,,Durban,22-Jan-19,74.9,73.8,27.5,Partially cloudy,ODI,Pakistan
H Klaasen,5*,-,5,5,100,0,0,,Cape Town,1-Feb-19,78.1,49.2,23.9,Clear,T20I,Pakistan
H Klaasen,5*,-,5,7,71.42,0,0,,Johannesburg,3-Feb-19,69.5,73,16.1,"Rain, Partially cloudy",T20I,Pakistan
H Klaasen,2,-,2,10,20,0,0,,Centurion,6-Feb-19,71.3,81.9,9.9,Partially cloudy,T20I,Pakistan
H Klaasen,6,5,11,34,32.35,1,0,,Ranchi,19-Oct-19,73.9,88.6,5.8,"Rain, Partially cloudy",Test,India
H Klaasen,66,-,66,33,200,4,4,,Centurion,16-Feb-20,81.7,75.1,10.1,Partially cloudy,T20I,England
H Klaasen,22,-,22,18,122.22,1,1,,Cape Town,26-Feb-20,69.3,72.9,25.3,"Rain, Partially cloudy",T20I,Australia
H Klaasen,123*,-,123,114,107.89,7,3,,Paarl,29-Feb-20,73.5,44.2,20.1,Clear,ODI,Australia
H Klaasen,51,-,51,52,98.07,3,1,,Bloemfontein,4-Mar-20,68.8,68,6.9,Clear,ODI,Australia
H Klaasen,68*,-,68,63,107.93,10,1,,Potchefstroom,7-Mar-20,69.1,51.1,9.6,Clear,ODI,Australia
H Klaasen,20,-,20,12,166.66,2,0,,Cape Town,27-Nov-20,68.7,48.4,19.9,Partially cloudy,T20I,England
H Klaasen,7,-,7,10,70,0,0,,Paarl,29-Nov-20,66.6,60.2,23,Clear,T20I,England
H Klaasen,12,-,12,10,120,2,0,,Lahore,11-Feb-21,61.6,74.3,4.7,Partially cloudy,T20I,Pakistan
H Klaasen,17*,-,17,9,188.88,3,0,,Lahore,13-Feb-21,60,86.7,4.4,Partially cloudy,T20I,Pakistan
H Klaasen,0,-,0,1,0,0,0,,Lahore,14-Feb-21,60.8,84.5,4.7,Partially cloudy,T20I,Pakistan
H Klaasen,1,-,1,21,4.76,0,0,,Centurion,2-Apr-21,65.7,80.1,9.2,Partially cloudy,ODI,Pakistan
H Klaasen,11,-,11,9,122.22,2,0,,Johannesburg,4-Apr-21,64.1,73,11.2,Partially cloudy,ODI,Pakistan
H Klaasen,4,-,4,12,33.33,0,0,,Centurion,7-Apr-21,71.5,80.1,9.4,Partially cloudy,ODI,Pakistan
H Klaasen,50,-,50,28,178.57,2,4,,Johannesburg,10-Apr-21,69.4,50.4,8.5,Clear,T20I,Pakistan
H Klaasen,36*,-,36,21,171.42,4,1,,Johannesburg,12-Apr-21,69.5,39,16,Clear,T20I,Pakistan
H Klaasen,15,-,15,10,150,2,0,,Centurion,14-Apr-21,62.7,83.4,13.9,Clear,T20I,Pakistan
H Klaasen,9,-,9,12,75,1,0,,Centurion,16-Apr-21,69.4,90.2,7.2,"Rain, Partially cloudy",T20I,Pakistan
H Klaasen,7,-,7,12,58.33,0,0,,St George's,26-Jun-21,64.5,92.7,6,"Rain, Partially cloudy",T20I,West Indies
H Klaasen,10,-,10,11,90.9,0,0,,St George's,27-Jun-21,75.4,79.1,7.8,"Rain, Partially cloudy",T20I,West Indies
H Klaasen,3,-,3,4,75,0,0,,Dublin (Malahide),16-Jul-21,67,70.6,8.7,Partially cloudy,ODI,Ireland
H Klaasen,7*,-,7,5,140,1,0,,Belfast,24-Jul-21,66.5,71.2,14.5,Partially cloudy,T20I,Ireland
H Klaasen,36,-,36,31,116.12,2,0,,Colombo (RPS),2-Sep-21,68.1,63.5,12.5,Partially cloudy,ODI,Sri Lanka
H Klaasen,43,-,43,27,159.25,4,1,,Colombo (RPS),4-Sep-21,61.7,81.5,9.6,"Rain, Partially cloudy",ODI,Sri Lanka
H Klaasen,22,-,22,30,73.33,3,0,,Colombo (RPS),7-Sep-21,58.9,91.7,26.8,"Rain, Overcast",ODI,Sri Lanka
H Klaasen,2,-,2,4,50,0,0,,Colombo (RPS),10-Sep-21,52.4,78.5,18.7,Partially cloudy,T20I,Sri Lanka
H Klaasen,DNB,-,-,-,-,-,-,,Colombo (RPS),12-Sep-21,68.7,66.7,13,Partially cloudy,T20I,Sri Lanka
H Klaasen,DNB,-,-,-,-,-,-,,Colombo (RPS),14-Sep-21,63.7,91.7,10.9,"Rain, Partially cloudy",T20I,Sri Lanka
H Klaasen,13,-,13,13,100,2,0,,Abu Dhabi,23-Oct-21,86.5,65.6,11.8,Clear,T20I,Australia
H Klaasen,DNB,-,-,-,-,-,-,,Dubai (DSC),26-Oct-21,N/A,N/A,N/A,N/A,T20I,West Indies
H Klaasen,81,-,81,46,176.08,7,5,,Cuttack,12-Jun-22,87.3,81.3,15,Partially cloudy,T20I,India
H Klaasen,29,-,29,24,120.83,3,1,,Visakhapatnam,14-Jun-22,88.4,71.6,11.4,Partially cloudy,T20I,India
H Klaasen,8,-,8,8,100,1,0,,Rajkot,17-Jun-22,88.5,64.8,17,"Rain, Partially cloudy",T20I,India
H Klaasen,TDNB,-,-,-,-,-,-,,Bengaluru,19-Jun-22,75.2,83,9.4,"Rain, Partially cloudy",T20I,India
H Klaasen,12,-,12,10,120,1,0,,Chester-le-Street,19-Jul-22,78.6,46.4,13.3,Partially cloudy,ODI,England
H Klaasen,33,-,33,40,82.5,2,0,,Manchester,22-Jul-22,59.5,89.7,8.5,"Rain, Overcast",ODI,England
H Klaasen,DNB,-,-,-,-,-,-,,Leeds,24-Jul-22,64.9,83.9,18.3,"Rain, Partially cloudy",ODI,England
H Klaasen,20,-,20,14,142.85,3,0,,Bristol,27-Jul-22,60.4,69.6,11.3,Partially cloudy,T20I,England
H Klaasen,19,-,19,10,190,1,1,,Cardiff,28-Jul-22,63,74.9,8.4,Partially cloudy,T20I,England
H Klaasen,6*,-,6,7,85.71,0,0,,Bristol,3-Aug-22,65.3,83.6,15,"Rain, Partially cloudy",T20I,Ireland
H Klaasen,39,-,39,16,243.75,5,2,,Bristol,5-Aug-22,59.7,60.3,17.6,Partially cloudy,T20I,Ireland
H Klaasen,74*,-,74,65,113.84,6,2,,Lucknow,6-Oct-22,75.1,94.7,9.2,"Rain, Overcast",ODI,India
H Klaasen,30,-,30,26,115.38,2,2,,Ranchi,9-Oct-22,78.9,80.2,10.3,Partially cloudy,ODI,India
H Klaasen,34,-,34,42,80.95,4,0,,Delhi,11-Oct-22,76.7,87.1,5.8,"Rain, Partially cloudy",ODI,India
H Klaasen,15,-,15,9,166.66,3,0,,Sydney,3-Nov-22,60.1,55.9,18.3,"Rain, Partially cloudy",T20I,Pakistan
H Klaasen,21,-,21,18,116.66,0,1,,Adelaide,6-Nov-22,67.6,45.1,9.7,Partially cloudy,T20I,Netherlands
H Klaasen,2,35,37,83,44.57,3,0,,Sydney,4-Jan-23,71.1,87.4,18,"Rain, Partially cloudy",Test,Australia
H Klaasen,30,-,30,32,93.75,0,2,,Bloemfontein,27-Jan-23,70.8,63.1,11.6,Partially cloudy,ODI,England
H Klaasen,27,-,27,19,142.1,3,0,,Bloemfontein,29-Jan-23,73.4,53.7,16,Clear,ODI,England
H Klaasen,80,-,80,62,129.03,7,2,,Kimberley,1-Feb-23,75.8,58.5,18.1,"Rain, Partially cloudy",ODI,England
H Klaasen,20,5,25,30,83.33,4,0,,Centurion,28-Feb-23,76.3,77.1,7.7,Partially cloudy,Test,West Indies
H Klaasen,17,14,31,83,37.34,3,0,,Johannesburg,8-Mar-23,69.9,72.6,8.9,"Rain, Partially cloudy",Test,West Indies
